Customer CodeToken / Fiat / NFT [Balance/NFT ID],
06706664,"ETH[0.0074932200000000],ETHW[0.0074932200000000],KIN[1.0000000000000000],USD[0.0000074466935736]"
06706668,"BUSD[5565.8831954300000000],ETHW[0.9972659300000000],FTT[25.0030532800000000],NFT (377772363226046688)[1],NFT (393264151515097318)[1],NFT (405372518043216083)[1],NFT (451903127526863152)[1],NFT(474023138853221702)[1],SOL[0.0386990158812900],SPY[0.0005524045861600],TRX[0.0304801848768100],USD[2.1140227509611015],USDT[24.3749074271084882]"
06706673,USD[0.0000008840505672]
06706676,"KIN[2.0000000000000000],NFT (398047691823342051)[1],UBXT[1.0000000000000000],USDT[0.0000000064377989]"
06706681,"CEL[0.0000299300000000],DOGE[12.2927723900000000],ENJ[0.0006617200000000],FTT[1.0004932500000000],GALA[43.4045385700000000],GOG[8.1506802100000000],MANA[4.1462889500000000],SAND[5.1010917600000000],SHIB[1.4685047700000000],UBXT[1.0000000000000000],USD[0.0007118037020440],USDT[1.3009685477716104]"
06706685,"BTC[0.0012987400000000],ETH[0.0179680000000000],ETHW[0.0349792000000000],MATIC[37.9572000000000000],SOL[0.0094060000000000],USD[899.2049368275000000]"
06706715,USD[1.8707678100000000]
06706769,"TRX[0.0000110000000000],USDT[14.1444273107905812]"
06706802,USD[0.5145395800000000]
06706813,USD[0.9771375600000000]
06706821,"BTC[0.0000423297431300],USD[0.0000262838665625]"
06706834,"ETH[0.0000000043943000],ETHW[0.0000000043943000],FTT[0.0160225456283152],USD[519.7458290275062950]"
06706842,"HXRO[1024.8906858500000000],USD[0.2842985005510709],USDT[0.9640296050000000]"
06706859,"BNB[0.0000000011167300],BTC[0.0000000054291714],LTC[0.0000000045954710],TRX[0.0000120068295394],USD[0.0000000160722263],USDT[4.4802593065767121]"
06706873,"USD[0.0000000008968000],USDT[25.8963180606648554]"
06706874,USD[1925.10439724240698400000000000]
06706882,USD[0.0000024710761252]
06706910,"BUSD[71.0000000000000000],UBXT[1.0000000000000000],USD[0.0958893034180929]"
06706912,USD[0.0000000060723088]
06706920,USD[0.0000045323739935]
06706955,"USD[0.0001276147993228],USDT[405.6242752017149566]"
06706976,"TRX[0.1100980000000000],USDT[0.0000000053368621]"
06706980,"BNB[0.0000000036692255],BTC[0.0000000452400462],DOGE[0.0000000012846670],FTT[0.0001047547314003],TRX[1.3676573484000000],TSLA[0.0000000047703052],USD[0.0000015043290483]"
06706982,"TRX[0.3302440000000000],USD[0.0213716673875000]"
06706995,DOGE[0.0000000061600000]
06707009,"NEAR[17.5104886500000000],USD[0.0000000414028585]"
06707012,"TRX[0.0106660000000000],USDT[0.0001000000002635]"
06707031,TRX[0.0000070000000000]
06707033,USD[6.4683332218550000]
06707034,TRX[0.0000020000000000]
Customer CodeToken / Fiat / NFT [Balance/NFT ID],
06707038,"JPY[0.0000042207531606],SOL[3.8515153500000000]"
06707048,"ETH[0.0672336900000000],ETHW[0.0672336900000000],USD[-53.7290118757168215]"
06707052,"FTT[150.0787659608660224],SRM[0.1800419000000000],SRM_LOCKED[18.3536921300000000],USDT[0.0000000060000000]"
06707056,"AUD[0.0000000050599701],DOGE[792.4350083000000000],SHIB[13792588.6866614100000000],XRP[2432.2273401900000000]"
06707082,"BAO[1.0000000000000000],DENT[1.0000000000000000],MATIC[1.0000182600000000],TRX[1.0000000000000000],USD[0.0000000042513559]"
06707095,"USD[0.0083848637001600],USDT[0.0057009677500000]"
06707105,"DOGE[0.0000000085278000],USD[0.0000000910019486],USDT[0.0000000076588583]"
06707106,"TRX[15.0000500000000000],USDT[0.7338904640185963]"
06707146,USD[5.0000000000000000]
06707182,"BNB[0.0072688400000000],USD[-1.4502455892918400],USDT[0.0001028765000000],XRP[0.1327170000000000]"
06707206,USD[7.4781262285500000]
06707210,"ETH[0.0005466300000000],ETHW[0.0005658000000000],JPY[0.3766633356026595],USD[0.1662007226250000],XRP[0.1177389959233050]"
06707223,"BTC[0.0000000050000000],DENT[1.0000000000000000],KIN[1.0000000000000000],USD[0.0240458758590248]"
06707228,"BAO[3.0000000000000000],UBXT[1.0000000000000000],USD[0.0000000116265658],USDT[70.0785783600000000]"
06707233,"USD[0.0000140125143590],USDT[0.0008655991225378]"
06707244,"BAO[5.0000000000000000],DENT[1.0000000000000000],ETH[0.0000051500000000],ETHW[0.1033105300000000],GBP[183.3200082736681942],ORCA[10.5846035200000000],USD[0.0000000169773792],WAVES[2.1487100300000000]"
06707256,EUR[0.0000000038135762]
06707282,"ETH[0.3915546862160000],ETHW[0.3915546862160000],USD[-28.8960610511500000],USDT[0.0000028345157526]"
06707337,"ETH[0.0200000044037500],HOLY[1.0000000000000000]"
06707352,"TRX[0.0000070000000000],USDT[0.0100000000000000]"
06707382,"AKRO[2.0000000000000000],ALGO[626.7154940500000000],ATOM[0.0001692100000000],AUD[2510.5031803323254917],AVAX[12.5054710800000000],BAO[4.0000000000000000],ETHW[2.0137128500000000],KIN[3.0000000000000000],MATH[1.0000000000000000],RSR[3.0000000000000000],SOL[18.6792016100000000],TRX[1.0000000000000000],UBXT[2.0000000000000000]"
06707410,"APT[0.0000000020165428],BNB[0.0000000097473359],BTC[0.0000000094350000],ETH[0.0000000030488487],SOL[0.0000000092829648],TRX[156.8923450036000000],USDT[0.1487193826241474]"
06707436,"JPY[0.8923026000000000],USD[0.6659783835000000]"
06707438,USDT[0.0000000031613745]
06707448,GBP[0.0000000000136172]
06707483,"BAO[1.0000000000000000],ETHW[0.0000099900000000],USD[12.7235737414116230]"
06707497,"AKRO[3.0000000000000000],APT[2.0049925800000000],AUD[0.0000051233322694],AXS[0.0000092400000000],BAO[14.0000000000000000],DENT[14.0000000000000000],ENS[0.0000183400000000],ETH[0.0000013194968270],ETHW[5.7226877038319320],EURT[0.0000826900000000],GMT[18.2267836800000000],HT[0.0000275600000000],KIN[9.0000000000000000],MATIC[91.9123008400000000],PSY[214.4608517000000000],SNX[2.3596736500000000],SOL[0.0000091800000000],TRX[2.0000000000000000],UBXT[4.0000000000000000],USD[1232.8478881191752646],XRP[12.8069166900000000]"
06707504,"BNB[0.0000002800000000],GHS[0.0004607398999275],USD[0.1579843885816779],USDT[0.0000000055568854]"
06707549,"AAVE[0.0000000062025964],AKRO[0.0000000008500036],ALCX[0.0000000088826485],ALEPH[0.0000000076563800],ALICE[0.0000000053648281],ANC[0.0000000067774182],APT[0.0000000087364468],AUDIO[0.0000000072824960],AXS[0.0000000040000000],BAO[1.0000000054000000],BCH[0.0000000000000096],BNB[0.0000000040896251],BRZ[0.0000000098361238],CHR[0.0000000013644502],CHZ[339.1620197369818072],COMP[0.0000000092091166],CTX[0.0000000004330072],DENT[1.0000000097018964],DOGE[0.0000000035042705],DOT[0.0000000019310331],DYDX[0.0000000096165360],ENJ[0.0000000074804019],ENS[0.0000000012448253],ETH[0.0000000067209774],ETHW[0.0000000009501722],FIDA[0.0000000042385701],FTM[0.0000000025015445],FTT[0.0000000023504279],GALA[0.0000000062513404],GARI[0.0000000013392078],GST[0.0000000086299600],HT[0.0000000066431800],KIN[2.0000000027552200],KNC[0.0000000097922544],LRC[0.0000000076800288],MANA[0.0000000058010191],MATIC[0.0000000064403291],MPLX[0.0000000011435198],MSOL[0.0000000054590825],OMG[0.0000000089217650],SAND[0.0000000067337208],SECO[0.0000000055260220],SHIB[81875268.8555117154750770],SOL[4.4967301327307849],SPELL[3571.2715808106398962],SUSHI[0.0000000075177600],SWEAT[0.0000000031238581],TRX[5386.0675768366711722],USD[0.0000000100359920],USDT[0.0000000132103691],WRX[0.0000000089243002],YFII[0.0000000035721628]"
06707552,GBP[0.0000000009128098]
06707562,"TRX[5.3700000000000000],USDT[36.0072726584407288]"
06707568,USD[0.0772304769000000]
06707594,"BAO[1.0000000000000000],FTT[5.6459315600000000],KIN[4.0000000000000000],SHIB[86324.8311268500000000],TRX[0.0000090000000000],USD[0.0000000284271343],USDT[0.0000000008353974]"
06707600,"BNB[0.0000000027923072],ETH[0.0000382600000000],TRX[0.0000300000000000],USD[-0.0395962982151149],USDT[0.0000000395879655]"
06707615,"USD[0.0050084368000000],USDT[0.0207432200000000]"
06707623,TRX[0.0000390000000000]
06707658,"BTC[0.6584102290000000],BUSD[4632.0460116500000000],KIN[1.0000000000000000],USD[0.0000000023013025],USDT[0.0000000053243233]"
06707660,"BTC[0.0000256000000000],USD[110.7587640918500000]"
06707675,"BTC[0.1563423300000000],ETH[1.9423745500000000],ETHW[2.0935181800000000],GMT[214.8388950700000000],NFT (477985882706892878)[1],USD[334.9431925200000000],USDT[3067.4988287500000000]"
06707676,"BTC[0.0001119100000000],GHS[14.6577468564241943],SOL[0.0000000022845880]"
06707690,MATIC[0.1000000000000000]
06707695,"BAO[1.0000000000000000],USD[0.0000000084321940]"
06707744,TRX[0.0000010000000000]
06707758,TONCOIN[9.1000000000000000]
06707784,"ETH[0.0052840100000000],ETHW[0.0052155600000000],USD[0.0000003165652359]"
06707880,"BTC[0.0000010900000000],USD[17.2089634064210800],USDT[0.0036471435000000],XRP[58.2933240000000000]"
06707882,"ETH[0.0006986000000000],USD[0.0000000136746606],USDT[4594.7472648400000000]"
06707913,TRX[0.0000010000000000]
06707929,"BAO[4.0000000000000000],ETHW[0.0250378800000000],GBP[60.2265285465114130],USD[0.0001467042583568]"
06707939,"BCH[0.0008797300000000],BTC[0.0000000030000000],TLM[0.8229200000000000],TRX[0.9320150000000000],USD[0.0000000058297559],USDT[0.0260259032321916]"
06707945,BTC[0.0000900000000000]
06707949,USDT[0.1070243310000000]
06707966,USD[10.0000000000000000]
06708052,"EUR[0.0000000603768211],USDT[0.0035233600000000]"
06708096,"DOGE[17324.5366918100000000],ETH[0.0001007100000000],ETHW[15.2255941700000000],SHIB[7010664.2858712800000000]"
06708099,"AKRO[1.0000000000000000],BAO[6.0000000000000000],ETH[0.6153602100000000],ETHW[0.3460253800000000],KIN[1.0000000000000000],RSR[1.0000000000000000],TRX[1.0000000000000000],USD[1.7080553488729625]"
06708102,USD[0.0094099522000000]
06708109,"AUD[0.0001941710944378],BTC[0.0000000061832050]"
Customer CodeToken / Fiat / NFT [Balance/NFT ID],
06708111,"BAO[9.0000000000000000],BTC[0.0835966499843400],KIN[6.0000000000000000],USD[133.59657944349444530000000000],XRP[0.0062958800000000]"
06708122,"EUR[0.3091091900000000],USD[0.0020990568119588]"
06708146,"ETCBULL[387.0000000000000000],USD[0.0373941012000000]"
06708150,"FTT[0.0697600000000000],TRX[0.8000130000000000],USD[2963.5300070930500000],USDT[0.0087280000000000]"
06708164,USDT[0.0000000004000000]
06708201,"DOT[7.3988030000000000],USDT[1.1492843990000000]"
06708215,"BAO[1.0000000000000000],KIN[2.0000000000000000],USD[0.0000000051468800],USDT[0.0000000065338974]"
06708240,"BAO[1.0000000000000000],KIN[1.0000000000000000],KSHIB[791.9677413200000000],SWEAT[321.9535958000000000],USD[0.0000000002293660]"
06708290,ETH[0.0000000001165556]
06708326,"DOGE[150.0000000000000000],LTC[20.5500000000000000],SOL[0.0063900000000000],USD[0.5224690415000000]"
06708328,"ETH[0.0000000200000000],NFT (449290296030158082)[1],USD[0.0000000692689936]"
06708329,"EUR[291.0000000000000000],USD[0.0033267005000000],USDT[0.9700000000000000]"
06708342,"BEAR[873.0000000000000000],BTC[0.0000085594340000],DOGE[0.9138000000000000],ETHBULL[0.0085340000000000],USD[0.0046320515454408],USDT[0.0864787000000000]"
06708348,"BAO[2.0000000000000000],SHIB[1572118.3791385800000000],USD[0.0000000000002938]"
06708352,USD[0.8048977520000000]
06708362,"BTC[0.0109000090000000],CEL[0.0000000091220284],ETH[0.1590000000000000],JPY[0.0000000045444404],USD[0.8454384847418712]"
06708386,"BTC[0.0053821300000000],DOGE[277.1436192400000000],ETH[0.1765865100000000],ETHW[0.1794570100000000],LTC[1.2150289700000000],USDT[35.4773934300000000]"
06708408,GBP[0.0000000012913840]
06708411,USD[0.0000000111500000]
06708414,"ETH[-0.0000010104379906],ETHW[-0.0000010039811184],USD[2.0799852077338677]"
06708420,USD[0.0000000049429706]
06708423,"BTC[0.0281502600000000],GBP[0.0038869252986041],RSR[1.0000000000000000],SOL[5.7121361200000000]"
06708446,USD[0.1443579765000000]
06708473,"DOGE[0.0000000035103132],USDT[1.9762710270000000]"
06708478,USD[0.0076827982000000]
06708492,"APT[0.0032062200000000],BAO[2.0000000000000000],DENT[1.0000000000000000],KIN[1.0000000000000000],RSR[1.0000000000000000],SOL[4.2337790050000000],USD[0.0000000029969398],USDT[0.0039791873663689]"
06708521,ETH[0.0000000700000000]
06708544,ETH[0.0000001000000000]
06708546,"BUSD[21522.7752000000000000],USD[11920.3002787900000000],USDT[0.0000000027057174]"
06708554,"AAPL[0.8700000000000000],BTC[0.0138566200000000],GOOGL[1.2300000000000000],NVDA[0.7950000000000000],SPY[0.3510000000000000],TSLA[1.2600000000000000],USD[21.8823481750000000]"
06708558,USDT[21.6188169710423396]
06708571,USDT[0.0000000061677700]
06708587,ETH[0.0000001000000000]
06708588,USD[0.0073713537000000]
06708600,USD[0.0000076758286776]
06708607,"ETHW[0.0001057800000000],USD[0.0009638859600000]"
06708608,USD[0.0000029669552442]
06708610,"ETH[0.0011756700000000],ETHW[0.0011756700000000],USD[0.0000014390426562]"
06708621,"ALPHA[1.0000000000000000],BAO[1.0000000000000000],FTT[8.5451211600000000],TRX[1.0000000000000000],USDT[0.0000001636503997]"
06708641,"ALGO[0.6100000100000000],AVAX[0.0400000000000000],SOL[0.0390000000000000],TRX[5.1700030000000000],USD[0.0083683854000000],USDT[0.5813941860000000]"
06708656,"BTC[0.0000000019790593],TRX[0.0000000100000000]"
06708689,"ETH[0.0000000688750000],ETHW[0.0000000188750000],GBP[8.2576992497045999]"
06708720,"ALGO[3.1890000000000000],TRX[234.6051118792374820],USDT[32.6845769573538907]"
06708740,ETH[0.0000000050000000]
06708757,EUR[50.0000000000000000]
06708808,EUR[0.0000000087308280]
06708811,"AKRO[2.0000000000000000],BAO[2.0000000000000000],DENT[3.0000000000000000],EUR[0.0000000070881798],KIN[3.0000000000000000],RSR[5.0000000000000000],TRX[5.0000000000000000],UBXT[4.0000000000000000]"
06708819,"ANC[0.0000000084663106],BIT[0.0000000092763512],BTC[0.0000000076915496],BTT[0.0000000131903080],CHZ[0.0000000084605089],CLV[0.0000000086700900],DOT[0.0000000098314621],ETH[0.0000000077662614],KIN[2.0000000000000000],LDO[0.0000000085659335],MATIC[0.0000000037886527],NFT (421737344286240281)[1],NFT(483754691413852860)[1],PROM[0.0000000048959237],RNDR[0.0000000087109268],SOL[0.0000000089901784],STORJ[0.0000000049230436],USD[0.0000039771761113],WFLOW[0.0000000052548583]"
06708829,USD[30.0000000000000000]
06708854,"BTC[0.4990236200000000],FTT[984.3376007600000000],SRM[0.3711412300000000],SRM_LOCKED[20.6288587700000000]"
06708859,"ETHW[0.0009154000000000],USD[0.0000000108871336],USDT[0.0000000016309127]"
06708870,BTC[0.0000000026299632]
06708882,USD[0.0009772575000000]
06708894,TRX[0.0000010000000000]
06708911,"BAO[1.0000000000000000],BTC[0.0130339700000000],TRX[1.0000000000000000],USDT[4309.7001660455000000]"
06708913,BTC[0.0000000100000000]
06708916,"BTC[1.0000000000000000],USD[958.7801974100000000]"
06708925,"BAO[1.0000000000000000],BTC[0.0009851590981000],GALA[416.5117403787241408],GBP[0.0001257507614710],KIN[1.0000000000000000]"
06708935,USD[0.0082992234000000]
06708948,"BAT[1.0000000000000000],KIN[1.0000000000000000],OMG[1.0185814100000000],USDT[0.0128457155066944]"
06708972,"ETH[0.0000000800000000],USDT[0.0000000100000000]"
Customer CodeToken / Fiat / NFT [Balance/NFT ID],
06709024,"NFT (371174812525093527)[1],TRX[0.0000560000000000],USD[0.0059561696228493]"
06709028,"BAO[5000.0000000000000000],BAT[0.2604964200000000],FTM[5.0000000000000000],FTT[1.7587541700000000],USD[0.0062892686389167]"
06709048,"EUR[0.0000000895844042],USDT[0.0089987400000000]"
06709070,"EUR[0.0000000072947386],USD[0.0000000057782400]"
06709095,ETH[0.0000001000000000]
06709106,"FTT[0.4946800000000000],TRX[0.6693280000000000],USD[0.7718359485455415],USDT[0.9465848304086000]"
06709109,"AVAX[9.0907090000000000],USD[293.38070381675000000000000000]"
06709127,"ETCBULL[3860.0000000000000000],TRX[0.0000010000000000],USD[0.0183929040000000],USDT[0.0065430000000000]"
06709167,"USD[0.0000000147175000],USDT[0.0000000043673701]"
06709168,"EUR[0.0000000091706786],USDT[0.9508642200000000]"
06709174,"BNB[0.0000000015860600],CTX[0.0000000090363966],USD[0.0000018374535983]"
06709206,"APT[7.5756601895292800],BNB[0.0000000007370300],MATIC[0.0000000067566536],SOL[1.4518589511406800],TRX[0.0000000015931172],USD[0.0000017546855604],USDT[0.0000001182528256]"
06709212,USD[0.0096563563000000]
06709220,BTC[0.0000044900000000]
06709221,USD[0.0076599519000000]
06709225,"AKRO[3.0000000000000000],BAO[3.0000000000000000],DENT[3.0000000000000000],EUR[0.0000000039538351],HXRO[1.0000000000000000],KIN[3.0000000000000000],RSR[1.0000000000000000],TRX[2.0000000000000000],UBXT[5.0000000000000000]"
06709258,"AKRO[4.0000000000000000],BAO[6.0000000000000000],BTC[0.0000000008883670],CEL[0.0000000045347502],CHZ[0.0000000016408419],CLV[0.0000000091982289],DENT[1.0000000000000000],DOGE[237.0968152265488538],ETH[0.0000000024146821],ETHW[0.0439705332994263],FTT[0.0000000053025934],KIN[5.0000000000000000],UBXT[1.0000000000000000],USD[0.0000168453129007]"
06709261,USDT[20.0000000000000000]
06709263,"TRX[0.0001150000000000],USD[0.5835767894800977],USDT[0.0000000091871526]"
06709288,"ETH[0.7412396700000000],ETHW[0.7412396700000000],GBP[0.0000134755937209]"
06709331,"BAO[1.0000000000000000],GBP[107.4714935028462239],USD[0.0000002092045828]"
06709346,USD[0.0091503771000000]
06709396,"AUD[0.0000865147827183],BTC[0.0355568500000000],DENT[1.0000000000000000],UBXT[1.0000000000000000]"
06709405,"BTC[0.0001606100000000],ETH[0.0242351600000000]"
06709406,USDT[0.0000023386011632]
06709429,"ETH[0.0000000900000000],USDT[0.0000000200000000]"
06709432,"AKRO[1.0000000000000000],BAO[1.0000000000000000],GBP[0.0000442820292314],TRX[1.0000000000000000]"
06709437,"AVAX[0.0000000084633200],BNB[0.0000000046597103],ETH[0.0000000017751567],MATIC[0.0000000002857542],TRX[0.0000000091320796],USDT[0.0000000313544788]"
06709457,"BAO[2.0000000000000000],KIN[1.0000000000000000],SOL[0.0000000001949600],TRX[0.0000000023873020]"
06709484,"NFT (530219794963567322)[1],USDT[0.0000000014078400]"
06709499,"BAO[1.0000000000000000],USD[4251.0859243831744660]"
06709533,USDT[9.0000000000000000]
06709548,"KIN[1.0000000000000000],SHIB[841940201.8766881500000000],USDT[2468.3323333300000000]"
06709553,"TRX[0.0005010000000000],USDT[2.8510111705000000]"
06709558,USD[0.0451555000000000]
06709559,"CHF[0.0000000094252273],USD[0.0000195081555000]"
06709584,"AAVE[2.9564246000000000],APT[10.0413637000000000],BNB[0.3843349900000000],BTC[0.0271991800000000],ETHW[0.7315630400000000],LINK[39.0753589200000000],NFT (414443228672843899)[1],NFT (498802644446894923)[1],SOL[4.9934894500000000],TRX[1.0000840000000000],USDT[1382.2718770253321437]"
06709587,JPY[172.5556221339000000]
06709590,"CEL[509.6980400000000000],MATIC[580.8838000000000000],USD[0.7560000000000000]"
06709606,USD[329.4074616600000000]
06709613,"GBP[106.9338760600000000],QI[6770.0000000000000000],USD[0.0000000039155284],USDT[0.0000000167434684]"
06709618,"BUSD[10.0000000000000000],EUR[960.9644564700000000],USD[0.0000000066991122]"
06709626,USD[0.0773614600000000]
06709634,"DOGE[0.0000399300000000],SOL[0.0000360400000000],TONCOIN[0.6500000000000000],TRX[0.3678500000000000],USD[0.0411349133000000],USDT[2.7625074777781876]"
06709637,"ETH[0.0000000272241650],ETHW[0.0000000272241650],MATIC[0.0000000085700000]"
06709662,"LTC[23.1944421400000000],XRP[0.1437840100000000]"
06709668,"AKRO[1.0000000000000000],USD[1722.4328320902500000],XRP[0.9004140000000000]"
06709683,USD[0.4167129000000000]
06709701,"BNB[0.0000000100000000],ETHW[0.0006448720736014],TRX[0.0000370000000000],USD[2.2665475941475000],USDT[0.4001302234804129]"
06709721,"APT[0.0000000004264443],FTM[0.0000000055673747],TRX[0.0000000100000000],USDT[0.0000000058440814]"
06709722,"BAO[1.0000000000000000],GBP[4.5001913499873115]"
06709734,"TONCOIN[0.1300000000000000],USD[0.0039621972000000],USDT[0.0100000000000000]"
06709768,"BAO[1.0000000000000000],CHF[0.0009133000000000],ETH[0.0071808000000000],ETHW[0.0269357100000000],USD[-0.3655706211309879]"
06709779,"USD[-0.8253416502000000],USDT[0.8300000000000000]"
06709784,"ETH[0.0592855412865000],ETHW[0.0592855412865000]"
06709819,USD[0.0060157608000000]
06709820,"ETH[0.0010000000000000],USDT[0.0000000026000000]"
06709835,"TRX[0.0000010000000000],USD[-0.2316805560438834],USDT[0.0000000064574191],XRP[0.9933025700000000]"
06709873,"BTC[0.0028255700000000],ETH[0.0005036500000000],ETHW[0.0005036500000000],KIN[1.0000000000000000],USD[0.0101633562373331]"
06709874,ETH[0.0000000100000000]
06709892,EUR[0.0000001040565902]
Customer CodeToken / Fiat / NFT [Balance/NFT ID],
06709920,USDT[294.4055940000000000]
06709929,USD[0.0055337348000000]
06709946,USD[600.0000000000000000]
06709973,"AVAX[0.1016681800000000],USD[0.0014003880000000]"
06709989,FTT[22.5000000600000000]
06709994,"AAVE[0.0000114300000000],BAO[2.0000000000000000],DENT[1.0000000000000000],ENS[0.0000544800000000],FTT[58.9624478300000000],KIN[2.0000000000000000],RNDR[0.0020351900000000],TOMO[1.0000000000000000],UBXT[2.0000000000000000],UNI[0.0004486300000000],USD[0.0000000111745399]"
06710008,EUR[0.0000000495619290]
06710011,"BAO[1.0000000000000000],KIN[2.0000000000000000],TRX[0.0000120000000000],USD[0.0000000083745552],USDT[411.0794364108026397]"
06710048,USD[0.0500673509000000]
06710070,USD[0.0000000013250000]
06710073,"BRZ[0.0178171400000000],USD[0.0000000068425181],USDT[0.0000000063042644]"
06710089,XRP[0.0000000026464000]
06710103,"FTT[0.0000000037141862],UNI[0.0000000011088437],USD[0.0000000054936469]"
06710108,"FTT[0.0000000100000000],TONCOIN[0.0225437867148488],USD[0.9400572003918400]"
06710116,"FTT[25.4951550000000000],USD[0.0000000080322000],USDT[0.0000000018700000]"
06710124,"ETH[0.0099998167564000],ETHW[0.0099998167564000],FTT[25.0000000000000000],TRX[0.0000360000000000],USD[-24.7226157117183766],USDT[1429.8203342389656236]"
06710125,USDC[453.3300000000000000]
06710135,"BAO[1.0000000000000000],BNB[0.2433854602750102],BTC[0.0000000200000000],ETH[1.0179397000000000],ETHW[0.0000092900000000],KIN[3.0000000000000000],MATIC[0.0000000082893076],SHIB[10.2183333700000000],SOL[0.0000109851728596],STG[0.0000000083971212],TRX[1.0000000000000000],USDT[0.0003707310799708]"
06710148,"USD[0.0000000098465915],USDT[0.0000000097092426]"
06710164,USD[0.0000000042645616]
06710170,"BNB[0.0000000095024700],TRX[0.0000080000000000],USD[0.0000025185209527],USDT[1.7172547900000000]"
06710200,BTC[0.0022585800000000]
06710218,"USD[0.0000000082767129],USDT[0.0000000027946168]"
06710238,USDT[0.0002206530783498]
06710241,USD[0.0031175400000000]
06710249,"ETHBULL[74.3444980000000000],TRX[0.0001700000000000],USD[0.2054250350000000],USDT[0.0025704795000000]"
06710250,"BTC[0.0883757900000000],USD[4.8677809433750000],USDT[0.0000000024923900]"
06710267,USDT[0.0202441017056335]
06710268,"TRX[0.5499390000000000],USDT[0.3975401962500000]"
06710272,"BRZ[0.0000428211221133],BTC[0.0000000605930000],TRX[0.0000140000000000],USDT[0.0000000004306403]"
06710287,"BTC[0.0000000030055810],USD[0.0001365239120180],USDT[0.0001200442510795]"
06710289,"BUSD[325.8536757000000000],DOGE[69.9973400000000000],MATIC[0.0415180000000000],TRX[143.3188010335111657],USD[13.62548964078256490000000000],USDT[0.0046267823901713]"
06710291,ETH[0.0000000017409600]
06710307,"TRX[0.0000160000000000],USDT[82425.9331922900000000]"
06710308,"BAO[2.0000000000000000],DENT[1.0000000000000000],GBP[0.0000001462180526],KIN[2.0000000000000000],NFT (441602772758929907)[1],TRX[1.0000000000000000],USD[0.0200001908268884]"
06710317,"TRX[0.2777959900000000],USDT[1.3100000009092203]"
06710322,"BTC[0.0026459000000000],ETH[0.0000000081993200],USD[0.0000000088300000],USDT[0.0000000000920000]"
06710326,"USD[0.0000000228971286],USDT[1828.0358139895699326]"
